Team Name,Record,Opponent Record,Rank Value
Nevada-Las Vegas,3-9,0-0,0.285714
New Hampshire,0-1,0-0,0.333333
New Mexico,7-5,0-0,0.571429
New Mexico State,3-9,0-0,0.285714
New York University,0-0,0-0,0.5
Newberry,0-0,0-0,0.5
Norman Naval Air Station,0-0,0-0,0.5
North Carolina,11-2,0-0,0.8
School,0-0,0-0,0.5
North Carolina Pre-Flight,0-0,0-0,0.5
North Carolina State,7-5,0-0,0.571429
North Texas,1-11,0-0,0.142857
Northern Arizona,0-1,0-0,0.333333
Northern Colorado,0-0,0-0,0.5
Northern Illinois,8-5,0-0,0.6
Northwestern,10-2,0-0,0.785714
Northwestern State,0-2,0-0,0.25
Notre Dame,10-2,0-0,0.785714
Oglethorpe,0-0,0-0,0.5
Ohio,8-4,0-0,0.642857
Ohio State,11-1,0-0,0.857143
Oklahoma,11-1,0-0,0.857143
Oklahoma State,10-2,0-0,0.785714
Old Dominion,5-7,0-0,0.428571
Oregon,9-3,0-0,0.714286
Oregon State,2-10,0-0,0.214286
Pacific,0-0,0-0,0.5
Penn State,7-5,0-0,0.571429
Pennsylvania,0-0,0-0,0.5
School,0-0,0-0,0.5
